activation,parameter,depth,width,seed,train_errors,eval_errors,dense_errors,solved,steps_to_criterion,final_eval_accuracy,at_chance,inactive_unit_fraction,duration_seconds
gelu,,3,3,186,56,61,-1,False,-1,0.9695,False,0.1111111111111111,0.6664725420996547
gelu,,3,3,187,95,100,-1,False,-1,0.95,False,0.0,0.6540749999694526
gelu,,3,3,188,79,85,-1,False,-1,0.9575,False,0.1111111111111111,0.6551754998508841
gelu,,3,3,189,78,93,-1,False,-1,0.9535,False,0.0,0.6512820001225919
gelu,,3,3,190,56,68,-1,False,-1,0.966,False,0.0,0.6480248749721795
gelu,,3,3,191,54,82,-1,False,-1,0.959,False,0.0,0.6717684168834239
gelu,,3,3,192,50,65,-1,False,-1,0.9675,False,0.0,0.6646739589050412
gelu,,3,3,193,71,61,-1,False,-1,0.9695,False,0.0,0.649529708083719
gelu,,3,3,194,0,0,0,True,550,1.0,False,0.0,0.6625227089971304
gelu,,3,3,195,84,73,-1,False,-1,0.9635,False,0.0,0.6515343328937888
gelu,,3,3,196,80,98,-1,False,-1,0.951,False,0.1111111111111111,0.6473505839239806
gelu,,3,3,197,89,89,-1,False,-1,0.9555,False,0.0,0.6525635418947786
gelu,,3,3,198,82,112,-1,False,-1,0.944,False,0.0,0.6694634170271456
gelu,,3,3,199,86,104,-1,False,-1,0.948,False,0.0,0.66162004112266
sin_family,1.5,3,3,100,91,94,-1,False,-1,0.953,False,0.0,0.7055579589214176
sin_family,1.5,3,3,101,98,101,-1,False,-1,0.9495,False,0.0,0.7038766660261899
sin_family,1.5,3,3,102,4,11,-1,False,-1,0.9945,False,0.0,0.6950980420224369
sin_family,1.5,3,3,103,65,66,-1,False,-1,0.967,False,0.1111111111111111,0.6964562919456512
sin_family,1.5,3,3,104,100,103,-1,False,-1,0.9485,False,0.0,0.6975432091858238
sin_family,1.5,3,3,105,70,102,-1,False,-1,0.949,False,0.0,0.6922865419182926
sin_family,1.5,3,3,106,76,80,-1,False,-1,0.96,False,0.0,0.6985632919240743
sin_family,1.5,3,3,107,0,0,0,True,900,1.0,False,0.1111111111111111,0.7097091660834849
sin_family,1.5,3,3,108,91,92,-1,False,-1,0.954,False,0.0,0.7002886671107262
sin_family,1.5,3,3,109,13,29,-1,False,-1,0.9855,False,0.0,0.7000044998712838
sin_family,1.5,3,3,110,80,97,-1,False,-1,0.9515,False,0.0,0.7022930840030313
sin_family,1.5,3,3,111,78,82,-1,False,-1,0.959,False,0.0,0.7074775421060622
sin_family,1.5,3,3,112,35,59,-1,False,-1,0.9705,False,0.0,0.7289022919721901
sin_family,1.5,3,3,113,7,21,-1,False,-1,0.9895,False,0.0,0.7097636249382049
sin_family,1.5,3,3,114,60,73,-1,False,-1,0.9635,False,0.0,0.715935249812901
sin_family,1.5,3,3,115,62,72,-1,False,-1,0.964,False,0.0,0.6987087079323828
sin_family,1.5,3,3,116,0,0,0,True,1000,1.0,False,0.0,0.7099148749839514
sin_family,1.5,3,3,117,75,75,-1,False,-1,0.9625,False,0.0,0.700893749948591
sin_family,1.5,3,3,118,87,89,-1,False,-1,0.9555,False,0.0,0.699889165814966
sin_family,1.5,3,3,119,53,58,-1,False,-1,0.971,False,0.1111111111111111,0.6971183330751956
sin_family,1.5,3,3,120,95,90,-1,False,-1,0.955,False,0.0,0.6991410830523819
sin_family,1.5,3,3,121,58,69,-1,False,-1,0.9655,False,0.0,0.7046612498816103
sin_family,1.5,3,3,122,65,70,-1,False,-1,0.965,False,0.0,0.6943074169103056
sin_family,1.5,3,3,123,86,85,-1,False,-1,0.9575,False,0.0,0.7001395830884576
sin_family,1.5,3,3,124,0,0,0,True,1600,1.0,False,0.0,0.7073997920379043
sin_family,1.5,3,3,125,63,64,-1,False,-1,0.968,False,0.0,0.7099432500544935
sin_family,1.5,3,3,126,7,11,-1,False,-1,0.9945,False,0.0,0.7090634999331087
sin_family,1.5,3,3,127,85,101,-1,False,-1,0.9495,False,0.0,0.7003735420294106
sin_family,1.5,3,3,128,9,21,-1,False,-1,0.9895,False,0.0,0.7038719579577446
sin_family,1.5,3,3,129,77,82,-1,False,-1,0.959,False,0.0,0.698257707990706
sin_family,1.5,3,3,130,84,84,-1,False,-1,0.958,False,0.0,0.7040261251386255
sin_family,1.5,3,3,131,0,0,31,False,1100,1.0,False,0.0,0.7082834579050541
sin_family,1.5,3,3,132,0,2,-1,False,2000,0.999,False,0.0,0.6986738329287618
